contig	genome_contig	locusName	la	lo	p.values	adj.p	geneName	cat
XP_015751753.1	NW_015441087.1	LOC107331658	-6025.354234	-6030.429435	0.00144269778777829	0.195456696288203	PREDICTED: protein jagged-1-like	BP
XP_015753573.1	NW_015441104.1	LOC107333297	-3148.573401	-3151.304067	0.0194418208105864	0.498606346027203	PREDICTED: DNA repair protein XRCC4-like	BP
XP_015756016.1	NW_015441130.1	LOC107335512	-5478.064002	-5480.763584	0.02014639943147	0.505450776847325	PREDICTED: uncharacterized protein LOC107335512	BP
XP_015777750.1	NW_015441692.1	LOC107355685	-3176.738581	-3179.356355	0.0221298358471485	0.52415212597407	PREDICTED: GDP-mannose 4,6 dehydratase-like isoform X2	BP
XP_015769911.1	NW_015441068.1	LOC107348381	-3345.858232	-3348.363863	0.0251829428001086	0.525783402054675	PREDICTED: ELAV-like protein 1	BP
XP_015771869.1	NW_015441445.1	LOC107350155	-2250.534944	-2253.036444	0.0253034232462096	0.525783402054675	PREDICTED: RBPJ-interacting and tubulin-associated protein 1-like	BP
XP_015780154.1	NW_015441856.1	LOC107358038	-6094.322266	-6096.524527	0.0358437684671172	0.591210098180361	PREDICTED: sonic hedgehog protein-like	BP
XP_015766456.1	NW_015441306.1	LOC107345268	-8826.075483	-8827.80735	0.0627285089898337	0.688515129477462	PREDICTED: nicastrin-like	BP
XP_015779939.1	NW_015441840.1	LOC107357814	-3059.576609	-3061.207218	0.0709364184938528	0.698435027438021	PREDICTED: mothers against decapentaplegic homolog 4-like	BP
XP_015751117.1	NW_015441082.1	LOC107331096	-5403.987067	-5405.584883	0.0738352261150718	0.711598863091866	PREDICTED: filamin-A-like	BP
XP_015757663.1	NW_015441151.1	LOC107337062	-6899.354863	-6900.916834	0.077149937091303	0.719853545256869	PREDICTED: disabled homolog 2-interacting protein-like	BP
XP_015758506.1	NW_015441161.1	LOC107337784	-4374.292088	-4375.820674	0.0803814559362147	0.729898099881929	PREDICTED: uncharacterized protein LOC107337784	BP
XP_015760710.1	NW_015441195.1	LOC107339888	-2494.507298	-2495.982512	0.0858548177565026	0.747532821957003	PREDICTED: serine-threonine kinase receptor-associated protein-like	BP
XP_015778259.1	NW_015441719.1	LOC107356128	-8098.13745	-8103.464724	0.00109800573935192	0.169588769581539	PREDICTED: protein APCDD1-like	CC
XP_015762808.1	NW_015441229.1	LOC107341847	-2383.338552	-2387.996641	0.00227139297756615	0.215746981723473	PREDICTED: uncharacterized protein LOC107341847, partial	CC
XP_015754140.1	NW_015441108.1	LOC107333788	-2335.693358	-2340.131224	0.00288986346006603	0.25757809313799	PREDICTED: Na(+)/H(+) exchange regulatory cofactor NHE-RF1-like	CC
XP_015764275.1	NW_015441259.1	LOC107343225	-4683.081622	-4687.239551	0.00393004353006361	0.281500396961505	PREDICTED: protein NEDD1-like	CC
XP_015759292.1	NW_015441172.1	LOC107338566	-4043.261982	-4047.406304	0.00398937675056164	0.281500396961505	PREDICTED: protein Wnt-7b-like	CC
XP_015771700.1	NW_015441439.1	LOC107350010	-3167.504149	-3171.339848	0.00561029731564558	0.32762201738089	PREDICTED: pancreatic lipase-related protein 2-like	CC
XP_015759624.1	NW_015441178.1	LOC107338884	-5992.2568	-5996.029912	0.00601359587184053	0.339467486965398	PREDICTED: sodium-dependent phosphate transport protein 2B-like	CC
XP_015758982.1	NW_015441168.1	LOC107338264	-11616.851916	-11620.095831	0.0108615482880966	0.407081174920943	PREDICTED: multiple PDZ domain protein-like, partial	CC
XP_015761862.1	NW_015441057.1	LOC107340946	-5504.641242	-5507.64519	0.0142419993924662	0.451311307646249	PREDICTED: uncharacterized protein LOC107340946	CC
XP_015756422.1	NW_015441134.1	LOC107335884	-4578.199973	-4581.156264	0.0150331220615618	0.451311307646249	PREDICTED: nascent polypeptide-associated complex subunit alpha, muscle-specific form-like	CC
XP_015754572.1	NW_015441060.1	LOC107334166	-4251.352311	-4254.269547	0.0157151252978933	0.466904643718988	PREDICTED: degenerin mec-4-like, partial	CC
XP_015770803.1	NW_015441411.1	LOC107349209	-6736.438178	-6739.206924	0.0186132395333787	0.498606346027203	PREDICTED: periostin-like	CC
XP_015780288.1	NW_015441868.1	LOC107358173	-2096.760545	-2099.433974	0.020759647891687	0.510053739566018	PREDICTED: perlucin-like protein	CC
XP_015757376.1	NW_015441148.1	LOC107336823	-1329.014584	-1331.635614	0.0220471527313458	0.52415212597407	PREDICTED: microsomal glutathione S-transferase 1-like	CC
XP_015773387.1	NW_015441499.1	LOC107351608	-3427.246731	-3429.760452	0.0249487205679254	0.525772615806774	PREDICTED: ankyrin repeat, PH and SEC7 domain containing protein secG-like	CC
XP_015769960.1	NW_015441386.1	LOC107348434	-3626.170627	-3628.49548	0.031058866518939	0.562547491441959	PREDICTED: cathepsin Z-like	CC
XP_015766317.1	NW_015441303.1	LOC107345126	-3927.066661	-3929.340124	0.0329779019559725	0.581191343085789	PREDICTED: nucleobindin-2-like	CC
XP_015757232.1	NW_015441146.1	LOC107336678	-4496.999638	-4499.234953	0.0344822752239402	0.584902080330747	PREDICTED: carboxypeptidase Q-like	CC
XP_015780605.1	NW_015441900.1	LOC107358518	-4929.437445	-4931.287208	0.0544279279431649	0.664001449869473	PREDICTED: cholinesterase 1-like	CC
XP_015751928.1	NW_015441089.1	LOC107331799	-2360.529327	-2362.310478	0.0591057176852769	0.688515129477462	PREDICTED: chymotrypsinogen B-like isoform X4	CC
